,invoice_year_month,total_orders,revenue,total_active_customers,order_growth,revenue_growth,active_customer_growth
0,2010-12,26157,572713.8900000163,885,,,
1,2011-01,21229,569445.0400000077,741,-0.188,-0.006,-0.163
2,2011-02,19927,447137.3500000165,758,-0.061,-0.215,0.023
3,2011-03,27175,595500.760000013,974,0.364,0.332,0.285
4,2011-04,22642,469200.3610000132,856,-0.167,-0.212,-0.121
5,2011-05,28320,678594.5600000018,1056,0.251,0.446,0.234
6,2011-06,27185,661213.6900000116,991,-0.04,-0.026,-0.062
7,2011-07,26825,600091.0110000141,949,-0.013,-0.092,-0.042
8,2011-08,27007,645343.900000009,935,0.007,0.075,-0.015
9,2011-09,40028,952838.3819999964,1266,0.482,0.476,0.354
10,2011-10,49554,1039318.7899999822,1364,0.238,0.091,0.077
11,2011-11,64531,1161817.3799999433,1664,0.302,0.118,0.22
